code,film,revenue,budget,language,popularity,runtime,vote.average,vote.count,id,tagline,release.date,genres,certification,month_release,year_release,lustrum,log_popularity,log_revenue,time,name
80,Bad Boys II,273339556,130000000,en,21.206,147,6.5,3115,8961,"If you can't stand the heat, get out of Miami.",2003-Jul-18,"[28, 12, 35, 80, 53]",R,July,2003,2000-2005,3.05428416050361,19.426225375149,genre4,Crime
80,Blow,83282296,53000000,en,15.14,124,7.4,2668,4133,Based on a True Story.,2001-Apr-04,"[80, 18]",R,April,2001,2000-2005,2.7173402480093,18.2377465515355,genre1,Crime
80,Wild Card,,30000000,en,15.217,92,5.5,1060,265208,Never bet against a man with a killer hand.,2015-Jan-14,"[28, 80, 53]",R,January,2015,2015-2020,2.72241322393798,-Inf,genre2,Crime
80,Family Plot,7900000,2000000,en,6.722,121,6.8,184,5854,There’s no body in the family plot.,1976-Apr-09,"[35, 80, 53]",PG,April,1976,1975-1980,1.90538572930291,15.8823733174372,genre2,Crime
80,Play Misty for Me,10600000,725000,en,7.534,102,6.7,187,15393,The scream you hear may be your own!,1971-Nov-03,"[80, 18, 10749, 53]",R,November,1971,1970-1975,2.01942610926985,16.1763645590823,genre1,Crime
80,Suicide Squad,745600054,176000000,en,15.437,123,5.9,14937,297761,Worst Heroes Ever,2016-Aug-03,"[28, 12, 80, 14, 878]",PG-13,August,2016,2015-2020,2.7367672251997,20.4296998937605,genre3,Crime
80,Straw Dogs,3251794,2200000,en,8.248,116,7.2,461,994,Sometimes a man is forced to defend his honor.,1971-Dec-23,"[80, 18, 53]",R,December,1971,1970-1975,2.10997074671466,14.99471740201,genre1,Crime
80,The Green Mile,286801374,60000000,en,19.924,189,8.5,9527,497,Miracles do happen.,1999-Dec-10,"[14, 18, 80]",R,December,1999,1995-2000,2.99192503521104,19.4743004574732,genre3,Crime
80,Revenge of the Pink Panther,49579269,,en,6.588,104,6.6,215,6081,Just when you thought it was safe to go back to the movies...,1978-Jan-08,"[28, 35, 80, 53]",PG,January,1978,1975-1980,1.88524981231539,17.7190833406143,genre3,Crime
80,Serpico,29800000,3000000,en,8.466,129,7.6,941,9040,Many of his fellow officers considered him the most dangerous man alive - An honest cop.,1973-Dec-05,"[80, 18, 36]",R,December,1973,1970-1975,2.13605814209873,17.2100189514756,genre1,Crime
80,Spectre,880674609,245000000,en,29.931,148,6.4,7302,206647,A Plan No One Escapes,2015-Oct-26,"[28, 12, 80]",PG-13,October,2015,2015-2020,3.39889473259948,20.5961987728843,genre3,Crime
80,RoboCop 3,10696210,22000000,en,8.243,104,4.6,616,5550,He's back to lay down the law.,1993-Apr-17,"[28, 12, 80, 878, 53]",PG-13,April,1993,1990-1995,2.10936435533109,16.185400031079,genre3,Crime
80,F/X,20603715,,en,6.499,109,6.4,173,9873,Murder by Illusion,1986-Feb-07,"[28, 80, 53]",R,February,1986,1985-1990,1.87164831891221,16.8409819573064,genre2,Crime
80,American Gangster,266465037,100000000,en,13.099,157,7.6,3080,4982,There are two sides to the American dream,2007-Nov-02,"[80, 18]",R,November,2007,2005-2010,2.57253589141551,19.4007535997178,genre1,Crime
80,Scream and Scream Again,,,en,4.57,95,5.4,49,42594,TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!,1970-Feb-13,"[80, 27]",PG,February,1970,1970-1975,1.51951320490611,-Inf,genre1,Crime
80,The Mechanic,51070807,40000000,en,14.24,93,6.3,1890,27582,Someone has to fix the problems.,2011-Jan-13,"[28, 53, 80]",R,January,2011,2010-2015,2.65605490598383,17.7487236003396,genre3,Crime
80,Welcome to the Punch,9747,8500000,en,14.907,99,5.8,402,93828,"A Stunning, Intelligent Thriller",2013-Mar-15,"[28, 12, 80]",R,March,2013,2010-2015,2.70183090128829,9.18471482433721,genre3,Crime
80,Demolition Man,159055768,57000000,en,12.205,115,6.5,1961,9739,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.,1993-Oct-08,"[80, 28, 878]",R,October,1993,1990-1995,2.50184570384492,18.8847654408272,genre1,Crime
80,The Naked Gun 2Â½: The Smell of Fear,86930411,23000000,en,14.041,85,6.8,1158,37137,If you see only one movie this year...you ought to get out more often,1991-Jun-28,"[35, 80]",PG-13,June,1991,1990-1995,2.64198162113251,18.2806184829861,genre2,Crime
80,The Transporter,43928932,21000000,en,15.061,92,6.6,3217,4108,Rules are made to be broken.,2002-Oct-02,"[28, 80, 53]",PG-13,October,2002,2000-2005,2.71210862122971,17.5980837042519,genre2,Crime
80,The Shawshank Redemption,28341469,25000000,en,33.378,142,8.7,15112,278,Fear can hold you prisoner. Hope can set you free.,1994-Sep-23,"[80, 18]",R,September,1994,1990-1995,3.50789700032121,17.1598366257458,genre1,Crime
80,Kill Bill: Vol. 1,180899045,30000000,en,22.206,111,7.9,10918,24,A roaring rampage of revenge.,2003-Oct-10,"[28, 80]",R,October,2003,2000-2005,3.10036252263207,19.0134496711918,genre2,Crime
80,Now You See Me,117698894,75000000,en,16.888,116,7.4,10943,75656,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,2013-May-29,"[53, 80]",PG-13,May,2013,2010-2015,2.82660331054602,18.5836401754149,genre2,Crime
80,Police Story,,,cn,9.21,101,7.4,317,9056,"You may know the name, but the game has changed.",1985-Dec-14,"[28, 80, 53]",PG-13,December,1985,1985-1990,2.22028985026722,-Inf,genre2,Crime
80,Red Heat,34994648,29000000,en,7.843,104,6,738,9604,Moscow's toughest detective. Chicago's craziest cop. There's only one thing worse than making them mad. Making them partners.,1988-Jun-17,"[28, 80]",R,June,1988,1985-1990,2.05962141423053,17.3707056934754,genre2,Crime
80,Midnight Express,3.5e+07,2300000,en,7.52,121,7.7,797,11327,"Walk into the incredible true experience of Billy Hayes, and bring all the courage you can!",1978-Aug-31,"[80, 18]",R,August,1978,1975-1980,2.01756613796175,17.3708586194537,genre1,Crime
80,El Camino: A Breaking Bad Movie,,6000000,en,210.72,123,6.9,2072,559969,"",2019-Oct-11,"[80, 18, 53, 28]",R,October,2019,2015-2020,5.35053023799497,-Inf,genre1,Crime
80,Sleuth,,,en,7.626,138,7.7,287,993,"If It Was Murder, Where's the Body?",1972-Dec-10,"[80, 9648, 53]",PG,December,1972,1970-1975,2.03156346143537,-Inf,genre1,Crime
80,Saw 3D,136150434,20000000,en,13.842,90,6,1708,41439,The Traps Come Alive,2010-Oct-21,"[80, 27]",R,October,2010,2010-2015,2.62770744841967,18.7292709647396,genre1,Crime
80,Sherlock Holmes: A Game of Shadows,334615000,125000000,en,15.989,129,7.1,7080,58574,The game is afoot.,2011-Nov-22,"[28, 12, 80, 9648]",PG-13,November,2011,2010-2015,2.77190098580328,19.6284911751595,genre3,Crime
80,Midnight Run,38413606,30000000,en,8.165,126,7.2,486,9013,This could be the beginning of a beautiful friendship.,1988-Jul-20,"[12, 35, 80]",R,July,1988,1985-1990,2.09985672642243,17.4639222777171,genre3,Crime
80,Snatch,83557872,10000000,en,16.55,103,7.8,5365,107,Stealin' Stones and Breakin' Bones.,2000-Sep-01,"[80, 53]",R,September,2000,2000-2005,2.80638610182307,18.2410500275979,genre1,Crime
80,From Dusk Till Dawn,25836616,19000000,en,15.04,108,7,3494,755,One night is all that stands between them and freedom. But it's going to be a hell of a night.,1996-Jan-19,"[28, 80, 27, 53]",R,January,1996,1995-2000,2.71071331852169,17.0673032685504,genre2,Crime
80,Thelma & Louise,45361000,16000000,en,13.958,130,7.5,1720,1541,Somebody said get a life… so they did.,1991-May-24,"[12, 80, 18, 53]",R,May,1991,1990-1995,2.63605282059496,17.6301632629961,genre2,Crime
80,Sneakers,105232691,,en,8.511,126,6.9,502,2322,"We could tell you what it's about. But then, of course, we'd have to kill you.",1992-Sep-09,"[35, 80, 18]",PG-13,September,1992,1990-1995,2.14135944449482,18.4716845609454,genre2,Crime
80,The Fugitive,368875760,44000000,en,15.672,131,7.4,2373,5503,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,1993-Aug-06,"[12, 28, 53, 80, 9648]",PG-13,August,1993,1990-1995,2.75187568064224,19.7259704515438,genre4,Crime
80,Striptease,113309743,50000000,en,8.427,115,4.8,429,9879,Some People Get Into Trouble No Matter What They WEAR.,1996-Jun-28,"[80, 18, 53]",R,June,1996,1995-2000,2.13144083679022,18.5456357152402,genre1,Crime
80,Double Impact,30102717,15000000,en,7.355,110,5.6,449,9594,Two brothers separated by the violence. Now together in a mission of revenge.,1991-Jul-31,"[28, 80, 18, 53]",R,July,1991,1990-1995,1.9953803540534,17.2201259914261,genre2,Crime
80,Dear Zachary: A Letter to a Son About His Father,,,en,9.956,95,8.3,264,15584,"",2008-Oct-31,"[80, 99]","",October,2008,2005-2010,2.29817538450535,-Inf,genre1,Crime
